Index | Value | Parent | Sibling
141 | signandnextexpr | 139 | 140
142 | id | 140 | 0
143 | epsilon | 141 | 0
144 | epsilon | 134 | 0
145 | stmt | 118 | 0
146 | ; | 118 | 145
147 | nextstmt | 118 | 146
148 | simplstmt | 145 | 0
149 | assignstmt | 148 | 0
150 | id | 149 | 0
151 | <- | 149 | 150
152 | expression | 149 | 151
153 | term | 152 | 0
154 | signandnextexpr | 152 | 153
155 | id | 153 | 0
156 | epsilon | 154 | 0
157 | epsilon | 147 | 0
158 | epsilon | 108 | 0
159 | stmt | 92 | 0
160 | ; | 92 | 159
161 | nextstmt | 92 | 160
162 | complexstmt | 159 | 0
163 | ifstmt | 162 | 0
164 | if | 163 | 0
165 | ( | 163 | 164
166 | condition | 163 | 165
167 | ) | 163 | 166
168 | then | 163 | 167
169 | cmpdstmt | 163 | 168
170 | else | 163 | 169
171 | cmpdstmt | 163 | 170
172 | endif | 163 | 171
173 | expression | 166 | 0
174 | relation | 166 | 173
175 | expression | 166 | 174
176 | term | 173 | 0
177 | signandnextexpr | 173 | 176
178 | id | 176 | 0
179 | epsilon | 177 | 0
180 | > | 174 | 0
181 | term | 175 | 0
182 | signandnextexpr | 175 | 181
183 | id | 181 | 0
184 | epsilon | 182 | 0
185 | stmt | 169 | 0
186 | ; | 169 | 185
187 | nextstmt | 169 | 186
188 | simplstmt | 185 | 0
189 | assignstmt | 188 | 0
190 | id | 189 | 0
191 | <- | 189 | 190
192 | expression | 189 | 191
193 | term | 192 | 0
194 | signandnextexpr | 192 | 193
195 | id | 193 | 0
196 | epsilon | 194 | 0
197 | epsilon | 187 | 0
198 | stmt | 171 | 0
199 | ; | 171 | 198
200 | nextstmt | 171 | 199
201 | simplstmt | 198 | 0
202 | assignstmt | 201 | 0
203 | id | 202 | 0
204 | <- | 202 | 203
205 | expression | 202 | 204
206 | term | 205 | 0
207 | signandnextexpr | 205 | 206
208 | id | 206 | 0
209 | epsilon | 207 | 0
210 | epsilon | 200 | 0
211 | epsilon | 161 | 0
212 | cmpdstmt | 82 | 0
213 | stmt | 212 | 0
214 | ; | 212 | 213
215 | nextstmt | 212 | 214
216 | simplstmt | 213 | 0
217 | iostmt | 216 | 0
218 | println | 217 | 0
219 | expression | 217 | 218
220 | term | 219 | 0
221 | signandnextexpr | 219 | 220
222 | id | 220 | 0
223 | epsilon | 221 | 0
224 | epsilon | 215 | 0
